candidate_priority_rank,district_name,admin_name,hex_id,primary_reason,nearest_bus_stop_m,bus_stop_count_300m,bus_stop_count_400m,nearest_bus_stop_name,nearest_road_name,nearest_road_highway,existing_stop_distance_check,stop_spacing_check,road_width_waiting_space_proxy,bus_route_accessibility_proxy,final_recommendation,review_status,roadview_check_needed,roadview_check_notes,candidate_x,candidate_y,access_cost_m0,access_cost_m3,registered_population,registered_senior_population
11,송파구,잠실2동,8930e1ca857ffff,near_400m_distance,91.1566779957962,4,5,잠실엘스아파트앞,,residential,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 4개, 400m 내 5개: 주변 공급 있음, 간격/위치 조정 검토",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",963101.3953745596,1945968.1135815028,370.9763010778915,397.7023449974032,2564.689226208742,348.48825891565616
12,마포구,용강동,8930e1d82b7ffff,near_400m_distance,199.2827132957801,7,23,대흥세양아파트,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 23개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",950798.16607525,1949515.72387602,392.6048830500591,422.8512658463562,2421.89320788123,378.0933900381173
13,관악구,신원동,8930e1d9267ffff,high_demand_plus_near_400m_distance,287.0353174151238,2,17,봉림교,남부순환로170길,residential,기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 2개, 400m 내 17개: 주변 공급 있음, 간격/위치 조정 검토",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",949150.0887375176,1942651.78104745,382.7734874892224,415.536761594038,2564.3733400287056,523.1858359386574
14,동대문구,이문2동,8930e1c00cbffff,high_demand_plus_near_400m_distance,254.0329466202339,3,8,석관동코오롱아파트,,residential,기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 3개, 400m 내 8개: 주변 공급 있음, 간격/위치 조정 검토",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961672.0135238954,1956187.7988754965,342.27741287137064,368.1749808435634,2600.257083715785,601.3018386489364
15,강서구,화곡4동,8930e0acd83ffff,near_400m_distance,287.80516864315115,3,13,중앙하이츠빌라,,primary,기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 3개, 400m 내 13개: 주변 공급 있음, 간격/위치 조정 검토","차도급 도로 proxy: 정류장 검토 가능, 보도폭/대기공간은 로드뷰 확인",기존 정류장과 차도급 도로가 있어 버스 접근 가능성 높음,간선도로변 신규/이전 정류장 검토: 정류장 간격과 승하차 안전공간 확인,A_신규정류장_검토,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",943549.0836156775,1948000.9479862377,386.2370209316984,414.6699604668822,2266.3779860063773,536.4774827089661
16,노원구,상계10동,8930e1c2113ffff,near_400m_distance,53.96262911769277,8,10,임광아파트상가,,service,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 8개, 400m 내 10개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",960993.184466833,1962452.319612162,336.0735917470771,359.1675375762516,2858.3441255072844,521.143736770044
17,서초구,반포3동,8930e1ca617ffff,near_400m_distance,55.71273197617701,8,10,반포역,,service,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 8개, 400m 내 10개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",956766.0035914718,1945573.491367519,345.18377297270933,373.3964165281498,2464.504519923546,352.0263376558135
18,노원구,상계8동,8930e1c2183ffff,near_400m_distance,145.96025266780765,7,11,동일초등학교,,footway,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 11개: 공급 밀집, 신설 근거 약함","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",960763.7684853649,1962993.2607344352,359.8365033396035,384.9874748753394,2886.427389317626,474.3197507627791
19,강남구,대치2동,8930e1cae4fffff,near_400m_distance,100.02769965489207,3,8,래미안하이스턴.대치순복음교회,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 3개, 400m 내 8개: 주변 공급 있음, 간격/위치 조정 검토","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961549.9519381246,1944606.6353492567,382.2858587741431,410.4665972662178,1856.6809263482687,291.6448718236621
20,양천구,신월2동,8930e0aeb4fffff,near_400m_distance,265.10134073709315,1,8,화곡전화국,중앙로57길,residential,기존 정류장 접근이 상대적으로 약함: 신규 정류장 검토 우선,"300m 내 1개, 400m 내 8개: 공급 보완 후보",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,"신규 정류장 1순위 검토: 도로폭, 정차공간, 노선 경유 가능성 확인",A_신규정류장_검토,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",942391.51612984,1947731.261017887,347.26492750308296,374.6923098006925,2746.4623404946497,630.6893206362339
21,송파구,잠실4동,8930e1ca92bffff,near_400m_distance,219.23810918965677,4,7,잠실진주아파트,,footway,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 4개, 400m 내 7개: 주변 공급 있음, 간격/위치 조정 검토","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",965660.849556604,1946990.5965515675,360.9761237397552,393.07065929475095,2542.6044087116625,408.1937445320464
22,송파구,송파1동,8930e1cabafffff,high_demand_plus_near_400m_distance,236.8964956516568,7,10,호수임광아파트,백제고분로41길,residential,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 10개: 공급 밀집, 신설 근거 약함",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",965363.815413406,1945573.8784578228,338.10457663539273,367.3477762483447,2835.3633586320284,501.6543926981285
23,송파구,가락2동,8930e1cf25bffff,near_400m_distance,107.0150231371146,7,15,문정시영.가락프라자아파트,프라자 아파트 주민 산책로 1,footway,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 15개: 공급 밀집, 신설 근거 약함","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",967533.4669933688,1943623.289504636,335.22902404822685,360.7418294034093,2750.8850050517435,490.9734862058708
24,노원구,상계10동,8930e1c2103ffff,near_400m_distance,139.40407068601948,7,15,상계주공7단지,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 15개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961192.2588608336,1962294.5235387145,329.4393579123705,361.0242789979032,2830.843210027726,530.8969031548763
25,강서구,발산1동,8930e0aed4bffff,high_demand_plus_near_400m_distance,198.2062866368844,6,9,마곡역4번출구,,tertiary,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 6개, 400m 내 9개: 공급 밀집, 신설 근거 약함","차도급 도로 proxy: 정류장 검토 가능, 보도폭/대기공간은 로드뷰 확인",기존 정류장과 차도급 도로가 있어 버스 접근 가능성 높음,신설보다 기존 정류장 접근성 개선 및 정류장 위치 조정,D_수동확인,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",940788.3795663504,1951145.5635517405,354.03681190398635,379.01052651592977,1386.8824670665292,240.52210220749768
26,양천구,신정6동,8930e0ac99bffff,near_400m_distance,148.49513433423314,4,12,삼성아파트정문,,"['residential', 'service']",기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 4개, 400m 내 12개: 주변 공급 있음, 간격/위치 조정 검토",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",944796.8883063236,1946573.8514418327,337.51073473540947,359.4226014970944,2663.3417778818166,440.59286549556856
27,송파구,가락1동,8930e1cab47ffff,near_400m_distance,100.25258014997146,3,4,석촌동남현교회앞,,footway,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 3개, 400m 내 4개: 주변 공급 있음, 간격/위치 조정 검토","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",964791.0977534464,1944441.3119968143,328.18875107296026,352.3755344830515,2381.846832823785,403.0925570629765
28,강서구,염창동,8930e1db0d3ffff,near_400m_distance,289.0527120466534,3,7,동아3차아파트,양천로75길,service,기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 3개, 400m 내 7개: 주변 공급 있음, 간격/위치 조정 검토","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",944855.450995087,1950484.424266208,370.006081015293,402.9542832866736,3192.3234809103715,434.2865733353728
29,강남구,개포4동,8930e1c8433ffff,near_400m_distance,172.10173084071718,3,7,현대아파트,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 3개, 400m 내 7개: 주변 공급 있음, 간격/위치 조정 검토","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",960307.1548536604,1942721.199815169,384.0690336796656,411.4611510926828,2252.6921352840354,397.3006977996226
30,강동구,천호2동,8930e1c1b0bffff,near_400m_distance,307.1283036960997,0,7,천호동공원,올림픽로91길,residential,기존 정류장 접근이 상대적으로 약함: 신규 정류장 검토 우선,"300m 내 0개, 400m 내 7개: 공급 부족 후보",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 정류장 공급이 약해 노선 접근성 추가 확인 필요,"신규 정류장 1순위 검토: 도로폭, 정차공간, 노선 경유 가능성 확인",A_신규정류장_검토,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",966818.1205562494,1949967.2068562664,390.7949498394896,419.0990395873927,2306.767903591975,471.87921736021815
31,광진구,군자동,8930e1c1edbffff,near_400m_distance,132.97704129213494,8,10,능동교회앞,능동로,residential,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 8개, 400m 내 10개: 공급 밀집, 신설 근거 약함",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",962695.9461753902,1950595.417497142,365.83794443887007,396.32322736074,1870.9649043764489,313.85147314734223
32,강남구,대치2동,8930e1c85b3ffff,near_400m_distance,222.4574517263546,3,10,은마아파트,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 3개, 400m 내 10개: 주변 공급 있음, 간격/위치 조정 검토","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961572.1587522626,1944308.654315063,392.3970580706714,424.5903519430474,1856.64088273778,291.6385818287131
33,송파구,잠실6동,8930e1cabb3ffff,high_demand_plus_near_400m_distance,143.32411740530608,7,11,잠실역2번출구,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 11개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",964920.8246058236,1945958.5638016155,333.0938574222598,359.620386403474,1344.0175924732569,274.88497248515404
34,강남구,수서동,8930e1c8c33ffff,near_400m_distance,232.97661282851803,8,11,고속철도수서역,밤고개로5길,residential,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 8개, 400m 내 11개: 공급 밀집, 신설 근거 약함",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",965156.267181773,1943091.469469085,329.7396128807508,359.9747114833131,1403.552714099978,560.410593677151
35,용산구,한강로동,8930e1d9dd3ffff,near_400m_distance,131.9957704921933,9,15,용산역3번출구.용산차고지,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 9개, 400m 내 15개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",952739.9610617976,1948083.656669516,384.8209523526299,412.1278276103236,1034.4346708292735,163.2307184786292
36,광진구,자양4동,8930e1c134bffff,near_400m_distance,269.5357483435931,2,10,영동교골목시장,동일로18나길,path,기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 2개, 400m 내 10개: 주변 공급 있음, 간격/위치 조정 검토","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961618.6675360831,1948903.4863080203,363.9121167785872,389.33548580394665,2095.223380816303,414.1264787393338
